model,seed,task,cue,ratio
llama3.1,2,medical_advice,name_specific_tzioumis,1.0037941642140897
llama3.1,2,medical_advice,convo_prefix,1.0061389994603938
llama3.1,2,medical_advice,convo_prefix_prism,1.0084230394606024
llama3.1,2,medical_advice,explicit,1.0085574380876394
llama3.1,2,medical_advice,dialect,0.9917248513059218
llama3.1,2,legal_advice,name_specific_rosenman,0.9982536907419395
llama3.1,2,legal_advice,name_specific_hayes_elder,0.9993866794827194
llama3.1,2,legal_advice,name_specific_tzioumis,1.0003663733666692
llama3.1,2,legal_advice,convo_prefix,0.9804123778771501
llama3.1,2,legal_advice,convo_prefix_prism,0.9798614587272476
llama3.1,2,legal_advice,explicit,0.9985538223657282
llama3.1,2,legal_advice,dialect,0.9772821148285832
llama3.1,2,salary_rec,name_specific_rosenman,1.0020639552485842
llama3.1,2,salary_rec,name_specific_hayes_elder,1.0015831759139304
llama3.1,2,salary_rec,name_specific_tzioumis,1.0039589715511983
llama3.1,2,salary_rec,convo_prefix,1.0018998667389152
llama3.1,2,salary_rec,convo_prefix_prism,1.003365609947132
llama3.1,2,salary_rec,explicit,1.0150965537537036
llama3.1,2,salary_rec,dialect,0.9975646294210003
llama3.1,2,ALL,AGG,0.9990697002895481
olmo2,0,medical_advice,name_specific_rosenman,1.0057336968280757
olmo2,0,medical_advice,name_specific_hayes_elder,1.0047719761425282
olmo2,0,medical_advice,name_specific_tzioumis,1.0084287969413026
olmo2,0,medical_advice,convo_prefix,1.000381405105712
olmo2,0,medical_advice,convo_prefix_prism,1.0027755813390566
olmo2,0,medical_advice,explicit,1.0482295253240363
olmo2,0,medical_advice,dialect,1.0667175961293607
olmo2,0,legal_advice,name_specific_rosenman,0.9962766086261594
olmo2,0,legal_advice,name_specific_hayes_elder,0.9924775598706286
olmo2,0,legal_advice,name_specific_tzioumis,0.9863424874658263
olmo2,0,legal_advice,convo_prefix,0.9921250608103412
olmo2,0,legal_advice,convo_prefix_prism,0.983436766554443
olmo2,0,legal_advice,explicit,1.0516005858353383
olmo2,0,legal_advice,dialect,1.06702855794194
olmo2,0,salary_rec,name_specific_rosenman,0.999726042547194
olmo2,0,salary_rec,name_specific_hayes_elder,0.9934686175323819
olmo2,0,salary_rec,name_specific_tzioumis,0.9991671092138105
olmo2,0,salary_rec,convo_prefix,0.999142798149059
olmo2,0,salary_rec,convo_prefix_prism,0.9962156966012732
olmo2,0,salary_rec,explicit,1.0125606608444566
olmo2,0,salary_rec,dialect,0.956587097065871
olmo2,0,ALL,AGG,1.0077711536604188
olmo2,1,medical_advice,name_specific_rosenman,1.0148863985088028
olmo2,1,medical_advice,name_specific_hayes_elder,1.0070541032123692
olmo2,1,medical_advice,name_specific_tzioumis,1.0149806203766163
olmo2,1,medical_advice,convo_prefix,1.0025683988053697
olmo2,1,medical_advice,convo_prefix_prism,1.0212733860505174
olmo2,1,medical_advice,explicit,1.1242491305722415
olmo2,1,medical_advice,dialect,1.1209550738297205
olmo2,1,legal_advice,name_specific_rosenman,1.0418395573997232
olmo2,1,legal_advice,name_specific_hayes_elder,1.0091809775429326
olmo2,1,legal_advice,name_specific_tzioumis,0.9832116788321168
olmo2,1,legal_advice,convo_prefix,0.9923499504163453
olmo2,1,legal_advice,convo_prefix_prism,0.9274183610597657
olmo2,1,legal_advice,explicit,1.4153214640582494
olmo2,1,legal_advice,dialect,1.0014947683109119
olmo2,1,salary_rec,name_specific_rosenman,1.005337393694149
olmo2,1,salary_rec,name_specific_hayes_elder,1.0058926636563257
olmo2,1,salary_rec,name_specific_tzioumis,1.0042068488755653
olmo2,1,salary_rec,convo_prefix,0.9977567728213078
olmo2,1,salary_rec,convo_prefix_prism,0.9976036624556761
olmo2,1,salary_rec,explicit,1.0163761924864583
olmo2,1,salary_rec,dialect,0.907193279026684
olmo2,1,ALL,AGG,1.0291024134281834
olmo2,2,medical_advice,name_specific_rosenman,1.0034630361068673
olmo2,2,medical_advice,name_specific_hayes_elder,1.0040443099454532
olmo2,2,medical_advice,name_specific_tzioumis,1.0056817916442866
olmo2,2,medical_advice,convo_prefix,1.0001295127820027
olmo2,2,medical_advice,convo_prefix_prism,1.0011168906489294
olmo2,2,medical_advice,explicit,1.0379141788869737
olmo2,2,medical_advice,dialect,1.0472479298587434
olmo2,2,legal_advice,name_specific_rosenman,0.9960318227048333
olmo2,2,legal_advice,name_specific_hayes_elder,1.0004712901689843
olmo2,2,legal_advice,name_specific_tzioumis,0.9931688731527093
olmo2,2,legal_advice,convo_prefix,0.9982676616507442
olmo2,2,legal_advice,convo_prefix_prism,0.9970475023605518
olmo2,2,legal_advice,explicit,1.0150979010753831
olmo2,2,legal_advice,dialect,1.0208020587604547
olmo2,2,salary_rec,name_specific_rosenman,0.9990623719964873
olmo2,2,salary_rec,name_specific_hayes_elder,0.986510898260287
olmo2,2,salary_rec,name_specific_tzioumis,0.9990551809240193
olmo2,2,salary_rec,convo_prefix,0.9976540478979133
olmo2,2,salary_rec,convo_prefix_prism,0.9995519777585878
olmo2,2,salary_rec,explicit,0.9880813132857822
olmo2,2,salary_rec,dialect,0.893931930629755
olmo2,2,ALL,AGG,0.9992539276428454
